"","Total.Entries","CS","ID","RD1","RD2","RD3","RD4","RD5","R1","R2","R3","R4","R5","RD_sum","R_sum","CurrentLabel","NextLabel"
"126",1,1,0,2,2,2,2,2,5,5,5,5,5,2,5,1,0
"127",1,1,0,2,2,2,2,2,5,5,5,5,5,2,5,2,0
"128",1,1,0,2,2,2,2,2,6,6,6,6,6,2,6,1,2
"129",1,1,0,2,2,2,2,2,6,6,6,6,6,2,6,2,1
"130",1,1,0,2,2,2,2,2,7,7,7,7,7,2,7,1,2
"131",1,1,0,2,2,2,2,2,7,7,7,7,7,2,7,2,2
"132",1,1,0,2,2,2,2,2,8,8,8,8,8,2,8,1,2
"133",1,1,0,2,2,2,2,2,8,8,8,8,8,2,8,2,1
"134",1,1,0,2,2,2,2,2,9,9,9,9,9,2,9,0,2
"135",1,1,0,2,2,2,2,2,10,10,10,10,10,2,10,2,2
"136",1,1,0,2,2,2,2,2,11,11,11,11,11,2,11,2,2
"137",1,1,0,2,2,2,2,2,13,13,13,13,13,2,13,1,2
"138",1,1,0,2,2,2,2,2,13,13,13,13,13,2,13,2,2
"139",1,1,0,2,2,2,2,2,15,15,15,15,15,2,15,2,1
"140",1,1,0,2,2,2,2,2,18,18,18,18,18,2,18,2,0
"141",1,1,0,2,2,2,2,2,22,22,22,22,22,2,22,2,2
"142",1,1,0,2,2,2,2,2,25,25,25,25,25,2,25,2,1
"143",1,1,0,2,2,2,2,2,26,26,26,26,26,2,26,1,0
"144",1,1,0,2,2,2,2,2,31,31,31,31,31,2,31,2,2
"145",1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,0,1
"146",1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,2
"147",1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2
"148",1,1,0,3,3,3,3,3,4,4,4,4,4,3,4,0,1
"149",1,1,0,3,3,3,3,3,4,4,4,4,4,3,4,2,1
"150",1,1,0,3,3,3,3,3,5,5,5,5,5,3,5,1,1
"151",1,1,0,3,3,3,3,3,5,5,5,5,5,3,5,2,0
"152",1,1,0,3,3,3,3,3,6,6,6,6,6,3,6,2,0
"153",1,1,0,3,3,3,3,3,7,7,7,7,7,3,7,1,1
"154",1,1,0,3,3,3,3,3,8,8,8,8,8,3,8,2,2
"155",1,1,0,3,3,3,3,3,9,9,9,9,9,3,9,2,1
"156",1,1,0,3,3,3,3,3,15,15,15,15,15,3,15,2,0
"157",1,1,0,3,3,3,3,3,18,18,18,18,18,3,18,2,0
"158",1,1,0,3,3,3,3,3,22,22,22,22,22,3,22,0,2
"159",1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,2,2
"160",1,1,0,4,4,4,4,4,6,6,6,6,6,4,6,2,1
"161",1,1,0,4,4,4,4,4,7,7,7,7,7,4,7,2,2
"162",1,1,0,4,4,4,4,4,8,8,8,8,8,4,8,0,2
"163",1,1,0,4,4,4,4,4,11,11,11,11,11,4,11,2,0
"164",1,1,0,4,4,4,4,4,12,12,12,12,12,4,12,1,2
"165",1,1,0,4,4,4,4,4,25,25,25,25,25,4,25,2,0
"166",1,1,0,5,5,5,5,5,6,6,6,6,6,5,6,1,2
"167",1,1,0,5,5,5,5,5,6,6,6,6,6,5,6,2,1
"168",1,1,0,5,5,5,5,5,9,9,9,9,9,5,9,2,0
"169",1,1,0,5,5,5,5,5,11,11,11,11,11,5,11,2,2
"170",1,1,0,5,5,5,5,5,32,32,32,32,32,5,32,1,2
"171",1,1,0,6,6,6,6,6,37,37,37,37,37,6,37,2,0
"172",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"173",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"174",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"175",2,0,2,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,1,0,2
"176",2,0,2,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,1,1,0
"177",2,0,2,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,1,2,0
"178",2,0,2,0,0.75,1.5,2.25,3,0,0.75,1.5,2.25,3,3,3,2,2
"179",2,0,2,0,2.25,4.5,6.75,9,0,7.5,15,22.5,30,9,30,1,1
"180",2,0,2,0,5.75,11.5,17.25,23,0,12.25,24.5,36.75,49,23,49,0,2
"181",2,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1
"182",2,0,2,1,1.25,1.5,1.75,2,1,1.25,1.5,1.75,2,3,3,2,0
"183",2,0,2,1,1.25,1.5,1.75,2,1,2.25,3.5,4.75,6,3,7,0,1
"184",2,0,2,1,1.5,2,2.5,3,1,1.75,2.5,3.25,4,4,5,1,1
"185",2,0,2,1,1.5,2,2.5,3,1,2.25,3.5,4.75,6,4,7,1,0
"186",2,0,2,1,2,3,4,5,1,2.75,4.5,6.25,8,6,9,0,0
"187",2,0,2,1,2,3,4,5,2,3.5,5,6.5,8,6,10,0,0
"188",2,0,2,2,2.25,2.5,2.75,3,3,3.75,4.5,5.25,6,5,9,2,1
"189",2,0,2,2,4.5,7,9.5,12,2,11.25,20.5,29.75,39,14,41,0,2
"190",2,0,2,5,6.5,8,9.5,11,7,9,11,13,15,16,22,0,0
"191",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"192",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"193",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"194",2,1,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,1,0,1
"195",2,1,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,1,1,0
"196",2,1,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,1,2,0
"197",2,1,1,0,0.25,0.5,0.75,1,0,0.5,1,1.5,2,1,2,0,2
"198",2,1,1,0,0.25,0.5,0.75,1,0,0.5,1,1.5,2,1,2,2,2
"199",2,1,1,0,0.25,0.5,0.75,1,0,0.75,1.5,2.25,3,1,3,0,2
"200",2,1,1,0,0.25,0.5,0.75,1,0,0.75,1.5,2.25,3,1,3,2,1
