"","pA-0%","pA-25%","pA-50%","pA-75%","pA-100%","pB-0%","pB-25%","pB-50%","pB-75%","pB-100%","pN-0%","pN-25%","pN-50%","pN-75%","pN-100%","CurrentLabel","NextLabel"
"4303",0.431818181818182,0.490530303030303,0.549242424242424,0.607954545454545,0.666666666666667,0.25,0.284090909090909,0.318181818181818,0.352272727272727,0.386363636363636,0.0833333333333333,0.107954545454545,0.132575757575758,0.15719696969697,0.181818181818182,2,2
"4304",0.431818181818182,0.615217391304348,0.727272727272727,0.775,1,0,0,0.2,0.241304347826087,0.363636363636364,0,0.0363636363636364,0.0869565217391304,0.227272727272727,0.4,2,0
"4305",0.43298969072165,0.458298124049349,0.483606557377049,0.515996827075621,0.548387096774194,0.336065573770492,0.36158117398202,0.387096774193548,0.415197871632857,0.443298969072165,0.0645161290322581,0.0941137346192218,0.123711340206186,0.152019604529322,0.180327868852459,1,1
"4306",0.433333333333333,0.525423728813559,0.571428571428571,0.638888888888889,0.69047619047619,0.133333333333333,0.285714285714286,0.352941176470588,0.428571428571429,0.466666666666667,0,0.03125,0.0666666666666667,0.133333333333333,0.315789473684211,0,0
"4307",0.434782608695652,0.465621840242669,0.496461071789687,0.527300303336704,0.558139534883721,0.173913043478261,0.229271991911021,0.284630940343782,0.339989888776542,0.395348837209302,0.0465116279069767,0.132709807886754,0.218907987866532,0.305106167846309,0.391304347826087,2,2
"4308",0.434782608695652,0.508084577114428,0.654761904761905,0.709770114942529,0.75,0,0.2125,0.30952380952381,0.407249466950959,0.565217391304348,0,0,0.0714285714285714,0.11146540027137,0.333333333333333,2,1
"4309",0.435897435897436,0.518437225636523,0.543859649122807,0.673333333333333,0.695652173913043,0,0.254565217391304,0.280701754385965,0.395229733684519,0.512820512820513,0.05,0.0582497212931996,0.0746268656716418,0.136738906088751,0.333333333333333,2,2
"4310",0.4375,0.53125,0.625,0.645833333333333,0.666666666666667,0.3125,0.322916666666667,0.333333333333333,0.385416666666667,0.4375,0,0.03125,0.0625,0.09375,0.125,1,1
"4311",0.4375,0.536458333333333,0.635416666666667,0.734375,0.833333333333333,0.166666666666667,0.25,0.333333333333333,0.416666666666667,0.5,0,0.015625,0.03125,0.046875,0.0625,0,1
"4312",0.439024390243902,0.468451749734889,0.516908212560387,0.556089743589744,0.557692307692308,0.304347826086957,0.335702341137124,0.367521367521368,0.401422764227642,0.439024390243902,0.0555555555555556,0.0860042735042735,0.109052532833021,0.145811240721103,0.217391304347826,1,1
"4313",0.439024390243902,0.468451749734889,0.516908212560387,0.556089743589744,0.557692307692308,0.304347826086957,0.335702341137124,0.367521367521368,0.401422764227642,0.439024390243902,0.0555555555555556,0.0860042735042735,0.109052532833021,0.145811240721103,0.217391304347826,2,1
"4314",0.439490445859873,0.470588235294118,0.526315789473684,0.607843137254902,0.639130434782609,0.239130434782609,0.263157894736842,0.313725490196078,0.352941176470588,0.401273885350318,0.0784313725490196,0.121739130434783,0.159235668789809,0.176470588235294,0.210526315789474,0,0
"4315",0.44,0.458095238095238,0.476190476190476,0.488095238095238,0.5,0.428571428571429,0.439285714285714,0.45,0.457558139534884,0.465116279069767,0.0348837209302326,0.0650609080841639,0.0952380952380952,0.102619047619048,0.11,1,2
"4316",0.44,0.488372093023256,0.5625,0.690140845070423,0.8,0.08,0.25,0.26056338028169,0.425531914893617,0.555555555555556,0,0.0425531914893617,0.0492957746478873,0.12,0.255813953488372,0,0
"4317",0.44,0.488372093023256,0.5625,0.690140845070423,0.8,0.08,0.25,0.26056338028169,0.425531914893617,0.555555555555556,0,0.0425531914893617,0.0492957746478873,0.12,0.255813953488372,1,1
"4318",0.44,0.49027027027027,0.540540540540541,0.67027027027027,0.8,0.1,0.225675675675676,0.351351351351351,0.355675675675676,0.36,0.1,0.104054054054054,0.108108108108108,0.154054054054054,0.2,0,2
"4319",0.44,0.5,0.571428571428571,0.833333333333333,1,0,0.166666666666667,0.305555555555556,0.416666666666667,0.5,0,0,0,0.124378109452736,0.222222222222222,0,0
"4320",0.44,0.5,0.571428571428571,0.833333333333333,1,0,0.166666666666667,0.305555555555556,0.416666666666667,0.5,0,0,0,0.124378109452736,0.222222222222222,2,2
"4321",0.44,0.547514619883041,0.618055555555556,0.71875,0.85,0.1,0.203125,0.263888888888889,0.373955722639933,0.48,0,0.0544172932330827,0.0738345864661654,0.103333333333333,0.1875,0,0
"4322",0.44047619047619,0.44047619047619,0.44047619047619,0.44047619047619,0.44047619047619,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.226190476190476,0.226190476190476,0.226190476190476,0.226190476190476,0.226190476190476,2,2
"4323",0.441860465116279,0.575342465753425,0.666666666666667,0.682926829268293,0.714285714285714,0.166666666666667,0.204081632653061,0.26027397260274,0.268292682926829,0.465116279069767,0.0487804878048781,0.0816326530612245,0.0930232558139535,0.164383561643836,0.166666666666667,0,2
